step,type,nameOrig,nameDest,isFraud,isFlaggedFraud
1,CASH_OUT,C1533123860,C766572210,0,0
1,CASH_OUT,C1718906711,C977993101,0,0
1,PAYMENT,C71802912,M2134271532,0,0
1,PAYMENT,C686349795,M1831010686,0,0
1,PAYMENT,C1423768154,M404222443,0,0
1,PAYMENT,C1987977423,M61073295,0,0
1,PAYMENT,C807322507,M396485834,0,0
1,TRANSFER,C283039401,C1330106945,0,0
1,TRANSFER,C207471778,C1761291320,0,0
1,TRANSFER,C1243171897,C783286238,0,0
1,TRANSFER,C1376151044,C1749186397,0,0
1,TRANSFER,C873175411,C766572210,0,0
1,TRANSFER,C1443967876,C392292416,0,0
1,TRANSFER,C1449772539,C1590550415,0,0
1,TRANSFER,C926859124,C665576141,0,0
1,TRANSFER,C1603696865,C766572210,0,0
1,TRANSFER,C12905860,C1359044626,0,0
1,TRANSFER,C412788346,C1590550415,0,0
1,TRANSFER,C1520267010,C1590550415,0,0
1,TRANSFER,C908084672,C392292416,0,0
1,TRANSFER,C288306765,C1359044626,0,0
1,TRANSFER,C1556867940,C1509514333,0,0
1,TRANSFER,C1839168128,C1286084959,0,0
1,TRANSFER,C1495608502,C1590550415,0,0
1,TRANSFER,C835773569,C1359044626,0,0
1,TRANSFER,C843299092,C1590550415,0,0
1,TRANSFER,C605982374,C1225616405,0,0
1,PAYMENT,C1412322831,M1651262695,0,0
1,PAYMENT,C1305004711,M494077446,0,0
1,PAYMENT,C1003206025,M989889899,0,0
1,PAYMENT,C806813022,M902860396,0,0
1,PAYMENT,C1406206626,M1816522350,0,0
1,PAYMENT,C1799230133,M1521238608,0,0
1,PAYMENT,C20156341,M1111897955,0,0
1,PAYMENT,C1509309988,M1643141512,0,0
1,CASH_OUT,C2091072548,C1282788025,0,0
1,CASH_OUT,C263053820,C1870252780,0,0
1,CASH_OUT,C1740826931,C97730845,0,0
1,CASH_OUT,C69062746,C100555887,0,0
1,CASH_OUT,C1631227617,C1983747920,0,0
1,CASH_OUT,C24650043,C736709391,0,0
1,CASH_OUT,C1896074070,C401424608,0,0
1,CASH_OUT,C460741164,C1590550415,0,0
1,CASH_OUT,C781091365,C985934102,0,0
1,PAYMENT,C1858015030,M25764044,0,0
1,PAYMENT,C671596011,M1925352804,0,0
1,CASH_OUT,C1687354037,C33524623,0,0
1,CASH_OUT,C743778731,C575335780,0,0
1,PAYMENT,C967323951,M1600594643,0,0
1,PAYMENT,C743648472,M692998280,0,0
1,DEBIT,C1368862151,C20671747,0,0
1,PAYMENT,C922807452,M33563464,0,0
1,TRANSFER,C1494346128,C564160838,0,0
1,PAYMENT,C822087264,M30699728,0,0
1,PAYMENT,C38603201,M1422273905,0,0
1,DEBIT,C1694784135,C801197928,0,0
1,PAYMENT,C1207231495,M756936249,0,0
1,PAYMENT,C1221981006,M264394929,0,0
1,PAYMENT,C1878413714,M769132147,0,0
1,PAYMENT,C1257299717,M1474957626,0,0
1,PAYMENT,C181252244,M1733022752,0,0
1,TRANSFER,C722417467,C451111351,0,0
1,TRANSFER,C753631393,C716157500,0,0
1,PAYMENT,C1262869688,M1914108708,0,0
1,PAYMENT,C544386226,M1357700757,0,0
1,PAYMENT,C900298796,M1889757798,0,0
1,PAYMENT,C1166106620,M1932470703,0,0
1,PAYMENT,C221861886,M1713568869,0,0
1,TRANSFER,C697508322,C1688019098,0,0
1,PAYMENT,C603658030,M1689924104,0,0
1,PAYMENT,C361380654,M631673932,0,0
1,DEBIT,C1579132337,C1321640594,0,0
1,PAYMENT,C1795225096,M790094605,0,0
1,PAYMENT,C1048712791,M487792155,0,0
1,PAYMENT,C1909398279,M1632670136,0,0
1,CASH_OUT,C1338905451,C1170794006,0,0
1,DEBIT,C1252540239,C1509514333,0,0
1,PAYMENT,C1136005694,M638486177,0,0
1,PAYMENT,C426019904,M314411620,0,0
1,CASH_OUT,C1642679791,C564160838,0,0
1,CASH_OUT,C855700733,C392292416,0,0
1,CASH_OUT,C247162961,C1297685781,0,0
1,CASH_OUT,C1890266440,C1297685781,0,0
1,CASH_OUT,C1527152775,C747464370,0,0
1,CASH_OUT,C1863655430,C1509514333,0,0
1,CASH_OUT,C976827477,C1590550415,0,0
1,CASH_OUT,C324112183,C288665596,0,0
1,CASH_OUT,C2092709730,C1749186397,0,0
1,CASH_OUT,C980364771,C453211571,0,0
1,CASH_OUT,C1233595751,C757108857,0,0
1,CASH_OUT,C1446001495,C1023714065,0,0
1,CASH_OUT,C1261044180,C401424608,0,0
1,CASH_OUT,C141110631,C240650537,0,0
1,CASH_OUT,C2029372696,C1971489295,0,0
1,CASH_OUT,C793293778,C766572210,0,0
1,CASH_OUT,C888611662,C401424608,0,0
1,CASH_OUT,C1966355106,C476800120,0,0
1,CASH_OUT,C599782425,C1209271652,0,0
1,CASH_OUT,C1233327519,C2083562754,0,0
1,CASH_OUT,C1155769010,C557041912,0,0
1,CASH_OUT,C269892014,C1590550415,0,0
1,CASH_OUT,C1280641161,C1435804085,0,0
1,CASH_OUT,C489411441,C736709391,0,0
1,CASH_OUT,C1141113940,C240650537,0,0
1,CASH_OUT,C1711185459,C1854778591,0,0
1,CASH_OUT,C25936709,C885951223,0,0
1,CASH_OUT,C1123559518,C1590550415,0,0
1,CASH_OUT,C649769713,C1060830840,0,0
1,CASH_OUT,C925150995,C920011586,0,0
1,CASH_OUT,C1760219993,C1360767589,0,0
1,CASH_OUT,C1800649922,C824009085,0,0
1,CASH_OUT,C403547747,C1531333864,0,0
1,CASH_OUT,C172215878,C434091818,0,0
1,CASH_OUT,C873309260,C1023714065,0,0
1,CASH_OUT,C1112456099,C1225616405,0,0
1,CASH_OUT,C923083575,C1504109395,0,0
1,CASH_OUT,C589363823,C1531333864,0,0
1,CASH_OUT,C2052457859,C985934102,0,0
1,CASH_OUT,C1299327689,C564160838,0,0
1,CASH_OUT,C1408279755,C453211571,0,0
1,CASH_OUT,C2007486296,C932583850,0,0
1,CASH_OUT,C1033348658,C1971489295,0,0
1,CASH_OUT,C1634723627,C2083562754,0,0
1,CASH_OUT,C938463537,C985934102,0,0
1,CASH_OUT,C2121995675,C1170794006,0,0
1,CASH_OUT,C2120063568,C1740000325,0,0
1,CASH_OUT,C1620409359,C248609774,0,0
1,CASH_OUT,C691691381,C453211571,0,0
1,CASH_OUT,C264978436,C1360767589,0,0
1,CASH_OUT,C500618423,C451111351,0,0
1,CASH_OUT,C1458091526,C747464370,0,0
1,CASH_OUT,C768776793,C796533847,0,0
1,CASH_OUT,C2018260103,C240650537,0,0
1,CASH_OUT,C1393828949,C357863579,0,0
1,CASH_OUT,C1088417975,C401424608,0,0
1,CASH_OUT,C2036775591,C757108857,0,0
1,CASH_OUT,C1620529408,C1688019098,0,0
1,CASH_OUT,C307488715,C1789550256,0,0
1,CASH_OUT,C758572926,C476402209,0,0
1,CASH_OUT,C1640612861,C985934102,0,0
1,CASH_OUT,C990679445,C557041912,0,0
1,CASH_OUT,C913065088,C401424608,0,0
1,CASH_OUT,C746280996,C1360767589,0,0
1,CASH_OUT,C50503805,C747464370,0,0
1,CASH_OUT,C1557989809,C33524623,0,0
1,CASH_OUT,C146874094,C1297685781,0,0
1,CASH_OUT,C2123222442,C451111351,0,0
1,PAYMENT,C1746570062,M1555990397,0,0
1,PAYMENT,C1544078442,M1291367132,0,0
1,PAYMENT,C1887699190,M1479140596,0,0
1,PAYMENT,C1108889615,M1275028674,0,0
1,PAYMENT,C455888635,M204805934,0,0
1,PAYMENT,C204322447,M1019484860,0,0
1,PAYMENT,C1164365897,M1640899500,0,0
1,PAYMENT,C3565780,M473666452,0,0
1,PAYMENT,C1865219266,M2138005960,0,0
1,DEBIT,C1278002745,C510113906,0,0
1,PAYMENT,C214649627,M67730604,0,0
1,PAYMENT,C15477956,M710623214,0,0
1,CASH_OUT,C2082351661,C1810132623,0,0
1,CASH_OUT,C859690270,C476402209,0,0
1,CASH_OUT,C1389774257,C1096283470,0,0
1,CASH_OUT,C553759818,C75457651,0,0
1,PAYMENT,C751021317,M1896552614,0,0
1,PAYMENT,C294658299,M1033856359,0,0
1,TRANSFER,C201677908,C451111351,0,0
1,PAYMENT,C635611994,M904253669,0,0
1,PAYMENT,C1930903395,M1431710377,0,0
1,PAYMENT,C1700721442,M2116511124,0,0
1,PAYMENT,C872522004,M1348916831,0,0
1,PAYMENT,C1110698130,M125644421,0,0
1,PAYMENT,C1053632127,M1493158871,0,0
1,PAYMENT,C89509666,M1806880779,0,0
1,PAYMENT,C1016856028,M446445803,0,0
1,PAYMENT,C832292933,M1280603381,0,0
1,PAYMENT,C792855998,M1424108509,0,0
1,PAYMENT,C1003755748,M1414013111,0,0
1,PAYMENT,C1805164661,M778162712,0,0
1,PAYMENT,C896138248,M548482954,0,0
1,PAYMENT,C243575009,M777341499,0,0
1,TRANSFER,C1420196421,C972765878,1,0
1,CASH_OUT,C2101527076,C1007251739,1,0
1,PAYMENT,C1454026445,M1378497201,0,0
1,PAYMENT,C892931811,M1577167234,0,0
1,PAYMENT,C1574873161,M1591916281,0,0
1,PAYMENT,C600958416,M1884231057,0,0
1,PAYMENT,C1492875057,M333793193,0,0
1,PAYMENT,C1068945248,M937277082,0,0
1,PAYMENT,C882646447,M234740890,0,0
1,DEBIT,C79290250,C1076835071,0,0
1,PAYMENT,C1586151649,M179294202,0,0
1,PAYMENT,C1767230265,M593103894,0,0
1,PAYMENT,C727666004,M1601935322,0,0
1,PAYMENT,C414225167,M1803093683,0,0
1,PAYMENT,C975033189,M962287291,0,0
1,PAYMENT,C628064884,M109069556,0,0
1,PAYMENT,C1389509050,M828326869,0,0
1,PAYMENT,C1761217448,M1817789863,0,0
1,PAYMENT,C788905599,M1678709153,0,0
1,CASH_OUT,C1544614339,C1297685781,0,0
1,PAYMENT,C2059592603,M2016828666,0,0
1,PAYMENT,C1688782916,M1064154107,0,0
1,PAYMENT,C1390301622,M415565467,0,0
1,TRANSFER,C973936431,C1335050193,0,0
1,PAYMENT,C1756207614,M1214133948,0,0
1,CASH_OUT,C2015301874,C1335050193,0,0
1,PAYMENT,C712627377,M782228073,0,0
1,PAYMENT,C399373008,M391506011,0,0
1,CASH_OUT,C1936550492,C1789550256,0,0
1,CASH_OUT,C594651850,C75457651,0,0
1,CASH_OUT,C1532139270,C920011586,0,0
1,CASH_OUT,C1677568775,C1740000325,0,0
1,CASH_OUT,C2069500590,C2083562754,0,0
1,CASH_OUT,C1431556341,C1740000325,0,0
1,CASH_OUT,C452364286,C985934102,0,0
1,CASH_OUT,C350069300,C1335050193,0,0
1,CASH_OUT,C1060703587,C757108857,0,0
1,CASH_OUT,C1957078537,C1360767589,0,0
1,CASH_OUT,C1514214932,C1590550415,0,0
1,CASH_OUT,C594858858,C1360767589,0,0
1,PAYMENT,C1423016050,M352776719,0,0
1,PAYMENT,C1202042637,M1112527632,0,0
1,PAYMENT,C440736059,M955324150,0,0
1,PAYMENT,C1384563514,M1852661033,0,0
1,PAYMENT,C1548946718,M1814423236,0,0
1,CASH_OUT,C140404585,C1688019098,0,0
1,PAYMENT,C207546206,M1218519094,0,0
1,PAYMENT,C200404000,M1894758168,0,0
1,PAYMENT,C191945292,M1242688388,0,0
1,DEBIT,C1317375498,C665576141,0,0
1,PAYMENT,C1130346421,M1316005672,0,0
1,DEBIT,C192428201,C401424608,0,0
1,PAYMENT,C1768882706,M1463022229,0,0
1,PAYMENT,C472991420,M1455855843,0,0
1,PAYMENT,C1202220987,M256346753,0,0
1,DEBIT,C425015667,C466505482,0,0
1,PAYMENT,C2075568954,M2145896000,0,0
1,CASH_OUT,C1279740095,C1750905143,0,0
1,PAYMENT,C2095677157,M852026681,0,0
1,PAYMENT,C1943855334,M94919826,0,0
1,PAYMENT,C847320212,M1201004240,0,0
1,PAYMENT,C1406848276,M349259569,0,0
1,PAYMENT,C785306763,M1204088028,0,0
1,PAYMENT,C1123236701,M1552221437,0,0
1,PAYMENT,C79161706,M1685407532,0,0
1,PAYMENT,C1057468716,M1272051933,0,0
1,PAYMENT,C1888924788,M1041547629,0,0
1,PAYMENT,C1016633682,M2018220300,0,0
1,PAYMENT,C1027319653,M633079302,0,0
1,PAYMENT,C1561745898,M2033268925,0,0
1,PAYMENT,C424786033,M1545077099,0,0
1,PAYMENT,C867093003,M1135278099,0,0
1,PAYMENT,C1470911015,M1268974304,0,0
1,PAYMENT,C244872973,M451312813,0,0
1,PAYMENT,C795748540,M2081000371,0,0
1,DEBIT,C837073696,C655381473,0,0
1,PAYMENT,C416201381,M1178290888,0,0
1,CASH_OUT,C1985938863,C1291286504,0,0
1,PAYMENT,C1660325375,M251664534,0,0
1,DEBIT,C334593716,C485041780,0,0
1,CASH_OUT,C487416600,C476800120,0,0
1,PAYMENT,C1271041075,M1141500277,0,0
1,PAYMENT,C1544895390,M712410791,0,0
1,PAYMENT,C1971991758,M2126723403,0,0
1,DEBIT,C201274566,C747464370,0,0
1,PAYMENT,C354605216,M824881806,0,0
1,TRANSFER,C1447353473,C20671747,0,0
1,PAYMENT,C611289995,M663466110,0,0
1,PAYMENT,C1129433283,M864138492,0,0
1,PAYMENT,C1810518740,M295180183,0,0
1,PAYMENT,C1547883191,M1650113431,0,0
1,PAYMENT,C1528769018,M183155105,0,0
1,PAYMENT,C1089930529,M2001115307,0,0
1,PAYMENT,C1429483328,M172794870,0,0
1,TRANSFER,C1927963027,C1234776885,0,0
1,DEBIT,C833240229,C1330106945,0,0
1,PAYMENT,C1167088639,M707531688,0,0
1,PAYMENT,C191568263,M1799635803,0,0
1,PAYMENT,C751608431,M1723290893,0,0
1,PAYMENT,C893640573,M2085886997,0,0
1,PAYMENT,C893523498,M1770070706,0,0
1,TRANSFER,C1108517064,C1983747920,0,0
1,TRANSFER,C511354923,C1899073220,0,0
1,TRANSFER,C992743048,C1749186397,0,0
1,TRANSFER,C1540894701,C564160838,0,0
1,TRANSFER,C203149502,C1531333864,0,0
1,TRANSFER,C1198197478,C453211571,0,0
1,TRANSFER,C476579021,C1590550415,0,0
1,TRANSFER,C106297322,C1590550415,0,0
1,TRANSFER,C1419332030,C665576141,0,0
1,TRANSFER,C1262110193,C1789550256,0,0
1,TRANSFER,C396918327,C1590550415,0,0
1,TRANSFER,C1055601039,C1359044626,0,0
1,TRANSFER,C547441493,C1531333864,0,0
1,TRANSFER,C967677821,C451111351,0,0
1,DEBIT,C1839206329,C998351292,0,0
1,TRANSFER,C169880779,C1286084959,0,0
1,TRANSFER,C552674617,C909295153,0,0
1,TRANSFER,C1974622245,C240650537,0,0
1,TRANSFER,C402808045,C1318822808,0,0
1,TRANSFER,C332365138,C392292416,0,0
1,TRANSFER,C977160959,C248609774,0,0
1,TRANSFER,C1563053805,C985934102,0,0
1,TRANSFER,C1464177809,C1170794006,0,0
1,TRANSFER,C1057507014,C1590550415,0,0
1,TRANSFER,C2007599722,C1590550415,0,0
1,TRANSFER,C2029780820,C1170794006,0,0
1,TRANSFER,C65080774,C747464370,0,0
1,TRANSFER,C2116179210,C1170794006,0,0
1,TRANSFER,C1172535934,C564160838,0,0
1,TRANSFER,C1648700617,C932583850,0,0
1,TRANSFER,C1765900922,C985934102,0,0
1,TRANSFER,C94830685,C248609774,0,0
1,TRANSFER,C1539947037,C1870252780,0,0
1,PAYMENT,C270661321,M1964434661,0,0
1,PAYMENT,C1217312754,M1585571244,0,0
1,PAYMENT,C1099552523,M66724371,0,0
1,CASH_OUT,C1047934137,C1286084959,0,0
1,CASH_IN,C1862994526,C1688019098,0,0
1,CASH_IN,C1614133563,C2083562754,0,0
1,CASH_IN,C839771540,C2001112025,0,0
1,CASH_IN,C1037163664,C33524623,0,0
1,CASH_IN,C180316302,C1330106945,0,0
1,CASH_IN,C1200546947,C1531333864,0,0
1,CASH_IN,C443713699,C488044861,0,0
1,CASH_IN,C695530017,C564160838,0,0
1,CASH_IN,C1493042329,C909295153,0,0
1,CASH_IN,C1751403001,C453211571,0,0
1,CASH_IN,C1717433286,C401424608,0,0
1,CASH_IN,C1756819670,C401424608,0,0
1,CASH_IN,C1078262677,C766572210,0,0
1,CASH_IN,C178604517,C920011586,0,0
1,CASH_IN,C57624756,C1297685781,0,0
1,CASH_IN,C1543518287,C451111351,0,0
1,CASH_IN,C998242313,C485041780,0,0
1,CASH_IN,C464872674,C1509514333,0,0
1,CASH_IN,C1659286984,C601893033,0,0
1,CASH_IN,C1064905627,C75457651,0,0
1,CASH_IN,C2072130509,C985934102,0,0
1,CASH_IN,C1260440107,C1749186397,0,0
1,CASH_IN,C482307698,C985934102,0,0
1,CASH_IN,C1793899405,C575335780,0,0
1,CASH_IN,C1765702,C1651855867,0,0
1,CASH_IN,C1302725372,C660143728,0,0
1,CASH_IN,C713898436,C100555887,0,0
1,CASH_IN,C632475595,C1100439041,0,0
1,CASH_IN,C1920305914,C357863579,0,0
1,CASH_IN,C263833514,C503195940,0,0
1,CASH_IN,C1278839936,C985934102,0,0
1,CASH_IN,C2143739483,C401424608,0,0
1,CASH_IN,C565881091,C1761291320,0,0
1,CASH_IN,C1618984457,C1870252780,0,0
1,CASH_IN,C1621254922,C564160838,0,0
1,CASH_IN,C702500163,C575335780,0,0
1,CASH_IN,C1574509514,C215145189,0,0
1,CASH_IN,C1087072654,C1750905143,0,0
1,CASH_IN,C864221358,C1282788025,0,0
1,CASH_IN,C1617174216,C824009085,0,0
1,CASH_IN,C1979080261,C392292416,0,0
1,CASH_IN,C1860886124,C747464370,0,0
1,CASH_IN,C1250499735,C990398217,0,0
1,CASH_IN,C173791568,C1590550415,0,0
1,CASH_IN,C1293462056,C1335050193,0,0
1,CASH_IN,C1966670937,C1359044626,0,0
1,CASH_IN,C2002174925,C33524623,0,0
1,CASH_IN,C588449070,C11003494,0,0
1,CASH_IN,C735228558,C716157500,0,0
1,CASH_IN,C376725601,C1360767589,0,0
1,CASH_IN,C1476235721,C1068824137,0,0
1,CASH_IN,C1828508781,C2083117811,0,0
1,PAYMENT,C1376017854,M1732663543,0,0
1,CASH_IN,C1552870927,C985934102,0,0
1,CASH_IN,C1448805967,C1225616405,0,0
1,CASH_IN,C641882263,C1568059495,0,0
1,CASH_IN,C1930837320,C564160838,0,0
1,CASH_IN,C1489193907,C1297685781,0,0
1,CASH_IN,C1453606810,C985934102,0,0
1,CASH_IN,C1645624121,C195600860,0,0
1,CASH_IN,C547923534,C736709391,0,0
1,CASH_IN,C1660223291,C1170794006,0,0
1,CASH_IN,C379124840,C1023714065,0,0
1,CASH_IN,C1157943921,C977993101,0,0
1,CASH_IN,C544966217,C1870252780,0,0
1,CASH_IN,C1706272858,C665576141,0,0
1,CASH_IN,C882471736,C1096283470,0,0
1,CASH_IN,C1475192960,C1816757085,0,0
1,CASH_IN,C727197178,C1100439041,0,0
1,CASH_IN,C1406253491,C85777802,0,0
1,CASH_IN,C749604930,C985934102,0,0
1,CASH_IN,C373097727,C564160838,0,0
1,CASH_IN,C2082509879,C1531333864,0,0
1,CASH_IN,C576894497,C985934102,0,0
1,CASH_IN,C2123533871,C1590550415,0,0
1,CASH_IN,C16148478,C1335050193,0,0
1,CASH_IN,C2022689531,C1359044626,0,0
1,CASH_IN,C1340848245,C1170794006,0,0
1,CASH_IN,C635610193,C1454031203,0,0
1,CASH_IN,C379121284,C1511785794,0,0
1,CASH_IN,C281421502,C1297685781,0,0
1,CASH_IN,C50072771,C215145189,0,0
1,CASH_IN,C848097505,C1286084959,0,0
1,CASH_IN,C1672598778,C451111351,0,0
1,CASH_IN,C1122233828,C1068824137,0,0
1,CASH_IN,C538667887,C240650537,0,0
1,CASH_IN,C1967496309,C766572210,0,0
1,CASH_IN,C406749219,C716157500,0,0
1,CASH_IN,C1173340685,C766572210,0,0
1,CASH_IN,C1045731788,C1209271652,0,0
1,CASH_IN,C1739267143,C985934102,0,0
1,CASH_IN,C192456457,C1023714065,0,0
1,CASH_IN,C817689537,C736709391,0,0
1,CASH_IN,C708613859,C451111351,0,0
1,CASH_IN,C365625031,C1789550256,0,0
1,CASH_IN,C1531200408,C1509514333,0,0
1,CASH_IN,C212963786,C1531333864,0,0
1,CASH_IN,C1123321137,C575335780,0,0
1,CASH_IN,C685934,C1854778591,0,0
1,CASH_IN,C2032909428,C1531333864,0,0
1,CASH_IN,C2031377754,C564160838,0,0
1,CASH_IN,C523211332,C459857341,0,0
1,CASH_IN,C1280124872,C1435804085,0,0
1,CASH_IN,C1747053097,C757108857,0,0
1,CASH_IN,C864326906,C1749186397,0,0
1,CASH_IN,C1348115836,C1750905143,0,0
1,CASH_IN,C1972143064,C33524623,0,0
1,CASH_IN,C312168418,C75457651,0,0
1,CASH_IN,C95369743,C1860513229,0,0
1,CASH_IN,C26928827,C451111351,0,0
1,PAYMENT,C278476563,M1479909053,0,0
1,DEBIT,C615954678,C811587677,0,0
1,PAYMENT,C1926180325,M733461760,0,0
1,PAYMENT,C1594039997,M1323531427,0,0
1,PAYMENT,C1170788511,M1400973979,0,0
1,PAYMENT,C347091104,M1105416433,0,0
1,PAYMENT,C1110195322,M404947798,0,0
1,PAYMENT,C226690498,M1455204443,0,0
1,PAYMENT,C1976602906,M1978209605,0,0
1,PAYMENT,C1624351535,M1394356510,0,0
1,TRANSFER,C582300198,C1971489295,0,0
1,PAYMENT,C533415944,M1919834117,0,0
1,CASH_OUT,C1086849943,C1182461167,0,0
1,PAYMENT,C1265053098,M246003654,0,0
1,PAYMENT,C235370598,M248710794,0,0
1,PAYMENT,C2083217543,M1073741635,0,0
1,CASH_OUT,C177104018,C1123629720,0,0
1,TRANSFER,C478139423,C1032986144,0,0
1,DEBIT,C997695567,C1282788025,0,0
1,DEBIT,C2066892165,C662736689,0,0
1,PAYMENT,C48305285,M1625090026,0,0
1,PAYMENT,C1714378342,M265824587,0,0
1,PAYMENT,C93798665,M41092582,0,0
1,PAYMENT,C519303080,M1345265484,0,0
1,TRANSFER,C1871680329,C1360767589,0,0
1,PAYMENT,C1976166251,M1950800085,0,0
1,PAYMENT,C1547398254,M1337829755,0,0
1,CASH_OUT,C1979055448,C1740000325,0,0
1,CASH_OUT,C934740803,C2083562754,0,0
1,PAYMENT,C812143047,M314364096,0,0
1,PAYMENT,C1215951090,M1205559205,0,0
1,PAYMENT,C894421232,M1098986569,0,0
1,DEBIT,C1182311147,C1540270363,0,0
1,PAYMENT,C1531182070,M276869158,0,0
1,PAYMENT,C1491860739,M1527214863,0,0
1,PAYMENT,C534753234,M172699023,0,0
1,PAYMENT,C231725600,M1831882653,0,0
1,PAYMENT,C259251414,M1552400354,0,0
1,PAYMENT,C803893384,M1078566479,0,0
1,PAYMENT,C1372422140,M819245704,0,0
1,PAYMENT,C1288108586,M1089584667,0,0
1,PAYMENT,C2054757222,M1865201235,0,0
1,PAYMENT,C348132918,M1493988307,0,0
1,PAYMENT,C1805443519,M1636322481,0,0
1,PAYMENT,C1978504976,M1338368149,0,0
1,PAYMENT,C1129869771,M1620459733,0,0
1,PAYMENT,C2044337856,M435914790,0,0
1,PAYMENT,C422409467,M1273958371,0,0
1,TRANSFER,C1659515968,C1629911510,0,0
1,PAYMENT,C664091267,M1433208870,0,0
1,PAYMENT,C1724814719,M1437988306,0,0
1,PAYMENT,C1543146693,M1718322084,0,0
1,PAYMENT,C1956415355,M251520863,0,0
1,CASH_OUT,C24039137,C33524623,0,0
1,PAYMENT,C992086987,M731243659,0,0
1,PAYMENT,C1244867001,M1037955032,0,0
1,PAYMENT,C369805307,M314562573,0,0
1,PAYMENT,C1100109058,M333693383,0,0
1,CASH_OUT,C1394010463,C1590550415,0,0
1,PAYMENT,C1057307776,M1819038759,0,0
1,TRANSFER,C1636588948,C2050019814,0,0
1,PAYMENT,C95685867,M331596257,0,0
1,PAYMENT,C494953170,M509864971,0,0
1,PAYMENT,C999647352,M911501858,0,0
1,PAYMENT,C677120200,M694069884,0,0
1,PAYMENT,C957923719,M747158012,0,0
1,PAYMENT,C1692073709,M948675904,0,0
1,PAYMENT,C1197498159,M785271142,0,0
1,PAYMENT,C500230084,M2023026843,0,0
1,PAYMENT,C1028145537,M1628551735,0,0
1,PAYMENT,C2078641942,M606775513,0,0
1,PAYMENT,C1527882132,M935160003,0,0
1,PAYMENT,C1626852381,M300604602,0,0
1,PAYMENT,C1193398802,M453398853,0,0
1,PAYMENT,C1171255580,M34073107,0,0
